DID,Dist,PID,Dir,Apara,r,slope,cant,LW,RW
1,0,1,0.069800000000000001,0,0,0,0,0,0
2,1,2,0.052400000000000002,0,0,0,0,0,0
3,2,3,3.2463000000000002,0,0,0,0,0,0
4,3,4,3.2288999999999999,0,0,0,0,0,0
5,4,5,3.2113999999999998,0,0,0,0,0,0
6,5,6,0.087300000000000003,0,0,0,0,0,0
7,6,7,3.2113999999999998,0,0,0,0,0,0
8,7,8,0.069800000000000001,0,0,0,0,0,0
9,8,9,3.2288999999999999,0,0,0,0,0,0
10,9,10,0.069800000000000001,0,0,0,0,0,0
11,10,11,3.2288999999999999,0,0,0,0,0,0
12,11,12,0.087300000000000003,0,0,0,0,0,0
13,12,13,3.2113999999999998,0,0,0,0,0,0
14,13,14,0.069800000000000001,0,0,0,0,0,0
15,14,15,3.2463000000000002,0,0,0,0,0,0
16,15,16,0.087300000000000003,0,0,0,0,0,0
17,16,17,3.2288999999999999,0,0,0,0,0,0
18,17,18,0.052400000000000002,0,0,0,0,0,0
19,18,19,3.2113999999999998,0,0,0,0,0,0
20,19,20,0.069800000000000001,0,0,0,0,0,0
21,20,21,3.2113999999999998,0,0,0,0,0,0
22,21,22,0.052400000000000002,0,0,0,0,0,0
23,22,23,3.2113999999999998,0,0,0,0,0,0
24,23,24,0.069800000000000001,0,0,0,0,0,0
25,24,25,3.2113999999999998,0,0,0,0,0,0
26,25,26,0.069800000000000001,0,0,0,0,0,0
27,26,27,3.2113999999999998,0,0,0,0,0,0
28,27,28,0.052400000000000002,0,0,0,0,0,0
29,28,29,3.1764999999999999,0,0,0,0,0,0
30,29,30,0.052400000000000002,0,0,0,0,0,0
31,30,31,3.2288999999999999,0,0,0,0,0,0
32,31,32,0.069800000000000001,0,0,0,0,0,0
33,32,33,3.2288999999999999,0,0,0,0,0,0
34,33,34,0.087300000000000003,0,0,0,0,0,0
35,34,35,3.1764999999999999,0,0,0,0,0,0
36,35,36,0.069800000000000001,0,0,0,0,0,0
37,36,37,3.2113999999999998,0,0,0,0,0,0
38,37,38,0.087300000000000003,0,0,0,0,0,0
39,38,39,3.2288999999999999,0,0,0,0,0,0
40,39,40,0.052400000000000002,0,0,0,0,0,0
41,40,41,3.2113999999999998,0,0,0,0,0,0
42,41,42,0.069800000000000001,0,0,0,0,0,0
43,42,43,3.2113999999999998,0,0,0,0,0,0
44,43,44,0.052400000000000002,0,0,0,0,0,0
45,44,45,3.2463000000000002,0,0,0,0,0,0
46,45,46,0.087300000000000003,0,0,0,0,0,0
47,46,47,3.2463000000000002,0,0,0,0,0,0
48,47,48,0.052400000000000002,0,0,0,0,0,0
49,48,49,3.2113999999999998,0,0,0,0,0,0
50,49,50,0.069800000000000001,0,0,0,0,0,0
51,50,51,3.2288999999999999,0,0,0,0,0,0
52,51,52,0.087300000000000003,0,0,0,0,0,0
53,52,53,3.2113999999999998,0,0,0,0,0,0
54,53,54,0.017500000000000002,0,0,0,0,0,0
55,54,55,3.1764999999999999,0,0,0,0,0,0
56,55,56,0.069800000000000001,0,0,0,0,0,0
57,56,57,3.1415999999999999,0,0,0,0,0,0
58,57,58,0.087300000000000003,0,0,0,0,0,0
59,58,59,3.2288999999999999,0,0,0,0,0,0
60,59,60,0.052400000000000002,0,0,0,0,0,0
61,60,61,3.2113999999999998,0,0,0,0,0,0
62,61,62,0.069800000000000001,0,0,0,0,0,0
63,62,63,3.2113999999999998,0,0,0,0,0,0
64,63,64,0.052400000000000002,0,0,0,0,0,0
65,64,65,3.2288999999999999,0,0,0,0,0,0
66,65,66,0.052400000000000002,0,0,0,0,0,0
67,66,67,3.2288999999999999,0,0,0,0,0,0
68,67,68,0.1222,0,0,0,0,0,0
69,68,69,3.2113999999999998,0,0,0,0,0,0
70,69,70,0.052400000000000002,0,0,0,0,0,0
71,70,71,3.1589999999999998,0,0,0,0,0,0
72,71,72,0.087300000000000003,0,0,0,0,0,0
73,72,73,3.2113999999999998,0,0,0,0,0,0
74,73,74,0.069800000000000001,0,0,0,0,0,0
75,74,75,3.1764999999999999,0,0,0,0,0,0
76,75,76,0.087300000000000003,0,0,0,0,0,0
77,76,77,3.2463000000000002,0,0,0,0,0,0
78,77,78,0.087300000000000003,0,0,0,0,0,0
79,78,79,3.2288999999999999,0,0,0,0,0,0
80,79,80,0.087300000000000003,0,0,0,0,0,0
81,80,81,3.2463000000000002,0,0,0,0,0,0
82,81,82,0.087300000000000003,0,0,0,0,0,0
83,82,83,3.2113999999999998,0,0,0,0,0,0
84,83,84,0.052400000000000002,0,0,0,0,0,0
85,84,85,3.2113999999999998,0,0,0,0,0,0
86,85,86,0.069800000000000001,0,0,0,0,0,0
87,86,87,3.2113999999999998,0,0,0,0,0,0
88,87,88,0.069800000000000001,0,0,0,0,0,0
89,88,89,3.2113999999999998,0,0,0,0,0,0
90,89,90,0.0,0,0,0,0,0,0
91,90,91,3.0369000000000002,0,0,0,0,0,0
92,91,92,6.1436000000000002,0,0,0,0,0,0
93,92,93,2.7751000000000001,0,0,0,0,0,0
94,93,94,5.7420999999999998,0,0,0,0,0,0
95,94,95,2.0070999999999999,0,0,0,0,0,0
96,95,96,4.9741999999999997,0,0,0,0,0,0
97,96,97,1.3788,0,0,0,0,0,0
98,97,98,4.5204000000000004,0,0,0,0,0,0
99,98,99,1.3788,0,0,0,0,0,0
100,99,100,4.5204000000000004,0,0,0,0,0,0
101,100,101,1.3613999999999999,0,0,0,0,0,0
102,101,102,4.5029000000000003,0,0,0,0,0,0
103,102,103,1.3439000000000001,0,0,0,0,0,0
104,103,104,4.4505999999999997,0,0,0,0,0,0
105,104,105,1.3089999999999999,0,0,0,0,0,0
106,105,106,4.4505999999999997,0,0,0,0,0,0
107,106,107,1.3439000000000001,0,0,0,0,0,0
108,107,108,4.4505999999999997,0,0,0,0,0,0
109,108,109,1.3089999999999999,0,0,0,0,0,0
110,109,110,4.468,0,0,0,0,0,0
111,110,111,1.3613999999999999,0,0,0,0,0,0
112,111,112,4.5029000000000003,0,0,0,0,0,0
113,112,113,1.3439000000000001,0,0,0,0,0,0
114,113,114,4.468,0,0,0,0,0,0
115,114,115,1.3089999999999999,0,0,0,0,0,0
116,115,116,4.4505999999999997,0,0,0,0,0,0
117,116,117,1.3613999999999999,0,0,0,0,0,0
118,117,118,4.5204000000000004,0,0,0,0,0,0
119,118,119,1.3439000000000001,0,0,0,0,0,0
120,119,120,4.4505999999999997,0,0,0,0,0,0
121,120,121,1.3439000000000001,0,0,0,0,0,0
122,121,122,4.468,0,0,0,0,0,0
123,122,123,1.3788,0,0,0,0,0,0
124,123,124,4.4505999999999997,0,0,0,0,0,0
125,124,125,1.3788,0,0,0,0,0,0
126,125,126,4.468,0,0,0,0,0,0
127,126,127,1.3788,0,0,0,0,0,0
128,127,128,4.5029000000000003,0,0,0,0,0,0
129,128,129,1.3439000000000001,0,0,0,0,0,0
130,129,130,4.468,0,0,0,0,0,0
131,130,131,1.3439000000000001,0,0,0,0,0,0
132,131,132,4.5029000000000003,0,0,0,0,0,0
133,132,133,1.3613999999999999,0,0,0,0,0,0
134,133,134,4.5029000000000003,0,0,0,0,0,0
135,134,135,1.3439000000000001,0,0,0,0,0,0
136,135,136,4.468,0,0,0,0,0,0
137,136,137,1.3439000000000001,0,0,0,0,0,0
138,137,138,4.468,0,0,0,0,0,0
139,138,139,1.3788,0,0,0,0,0,0
140,139,140,4.4505999999999997,0,0,0,0,0,0
141,140,141,1.3089999999999999,0,0,0,0,0,0
142,141,142,4.4157000000000002,0,0,0,0,0,0
143,142,143,1.3439000000000001,0,0,0,0,0,0
144,143,144,4.4505999999999997,0,0,0,0,0,0
145,144,145,1.3439000000000001,0,0,0,0,0,0
